ticket_id,type,comment,longitude,latitude,address,subdistrict,district,province,timestamp
2023-3VEYME,"ถนน,น้ำท่วม",ถนนพระราม9 ช่วงประมาณหน้าเซเว่น ปากซอย 17 มีน้ำท่วมขังและถนนชำรุด ทำให้เวลาฝนตกน้ำท่วมกินพื้นที่ไป 1 เลน ชาวบ้านแถวนั้นต้องเอาแบริเออพลาสติค มาขวางกั้นไว้เพื่อไม่ให้รถวิ่ง เพราะน้ำท่วมสูง ความสูงระดับหน้าแข้ง น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์,100.58956,13.75321,785 ถนน-พระราม 9 แขวงบางกะปิ เขตห้วยขวาง แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,10/31/2023 21:49
2023-HCQWXW,น้ำท่วม,ถนนบริเวณซอยหนองระแหง 5 ถึงบริเวณหน้าวัดแป้นทองโสภาราม พังมาเป็นระยะเวลานาน เป็นหลุม เป็นบ่อน้ำขัง ยากแก่การสัญจร และอันตรายในเวลากลางคืน เคยได้รับกาาแก้ไขแต่ก็กลับมาเป็นซ้ำอีก อีกทั้งบริเวณนั้นค่อนข้างมืด ไม่มีไฟทางในเวลากลางคืน ความสูงระดับข้อเท้า น้ำท่วมมาแล้วน้อยกว่า 1 สัปดาห์,100.70395,13.88855,20/717 ม.6 ถ.เลียบคลองสอง แขวงสามวาตะวันตก เขตคลองสามวา จังหวัดกรุงเทพมหานคร 10510 แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10/31/2023 18:56
2023-72LC3E,"น้ำท่วม,ความปลอดภัย","ประปาท่อแตก ในซอยเอกชัย 8 ช่วงหลังอนามัย บริเวณบ้านเลขที่ 47/31, 47/34, 47หมู่11น้ำท่วมขังร่วมเดือน มีคนโทรแจ้งประปาหลายรอบแล้ว แต่ไม่มีเจ้าหน้าที่มาซ่อมแซมให้ เดือดร้อนมากเข้าออกบ้านลำบาก  ความสูงระดับข้อเท้า น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์",100.45845,13.70675,47/5 จอมทอง แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10/31/2023 17:29
2023-AAD2QY,น้ำท่วม,ขอให้เข้าดำเนินการ กำจัดหรือเก็บผักตบซึ่งเป็นวัชพืช บริเวณ กำลังขวางเนื่องจาก วัชพืชดังกล่าว กีดขวางทางไหลของน้ำ ความสูงระดับข้อเท้า น้ำท่วมมาแล้วน้อยกว่า 1 ชั่วโมง,100.71819,13.87056,20/713 ซอย เลียบคลองสอง 27 แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10/31/2023 17:11
2023-3MK22P,น้ำท่วม,ซอยกรุงเทพกรีฑา7แยก1-2 ไม่มีท่อระบายน้ำ น้ำท่วมทางเข้าออกตลอด เวลาฝนตก ความสูงระดับข้อเท้า น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์,100.65907,13.75229,36 ซอย หมู่บ้านทาวน์พลัส พระราม 9 แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10/31/2023 16:35
UK2A9D,"ถนน,ผิดกฎจราจร","ปัญหา: ประชาชนแจ้ง พบถนนเป็นหลุมเป็นบ่อตั้งแต่น้ำท่วมที่ผ่านมา
ซอย: สุวินทวงศ์54
ถนน: สุวินทวงศ์
จุดสังเกต: ถนนตลอดทั้งซอย
เขต: หนองจอก
#1555",100.83037,13.8074,29/26 ถ. สุวินทวงศ์ แขวงลำผักชี เขตหนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,ลำผักชี,หนองจอก,จังหวัดกรุงเทพมหานคร,10/31/2023 16:27
7DGEC2,"จุดเสี่ยง,ความปลอดภัย","ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัสเรื่อง นร02660046356

ขอให้ซ่อมแซมฝาท่อระบายน้ำชำรุด ลักษณะทรุดเหมือนจะหล่นลงท่อ(ตามที่ประชาชนแจ้ง) บริเวณ  ปากซอยถนอมจิต ถนนสุทธิสาร เขตดินแดง กรุงเทพมหานคร จุดสังเกต ซอยจะอยู่ข้างเลอลิชคอนโด เนื่องจาก จะมีฝาท่อระบายน้ำชำรุด จำนวน 1 ฝา ลักษณะทรุดเหมือนจะหล่นลงท่อ(ตามที่ประชาชนแจ้ง) ซึ่งผู้ร้องเกรงว่าประชาชนที่สัญจรผ่าน หรือช่วงที่มีฝนตกน้ำท่วม จะทำให้เกิดอันตรายหรือตกท่อระบายน้ำได้ พบเห็นมาเป็นระยะเวลาประมาณ 1 สัปดาห์ จึงประสงค์ให้หน่วยงานที่เกี่ยวข้องดำเนินการตรวจสอบ 

//หมายเหตุ ปักหมุดที่สำนักงานเขตเพราะไม่สามารถปักละติจูด ลองติจูด ที่ชัดเจนได้ กรุณาอ่านรายละเอียดสถานที่จากรายละเอียดการแจ้งเป็นหลัก
ศูนย์ฯ ประสานมาเพื่อตรวจสอบและดำเนินการ และโปรดพิจารณาให้ความคุ้มครองผู้ร้องและผู้เกี่ยวข้องอย่าให้ต้องรับภัย หรือความไม่ชอบธรรมอันเนื่องมาจากการร้องเรียน การเป็นพยาน หรือการให้ข้อมูลนั้น  #ศรท  #ศรท1111
#1555 #citydata",100.55314,13.76982,"สำนักงานเขตดินแดง Mit Maitri Road, Din Daeng, Bangkok : 99 ถนน มิตรไมตรี แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,จังหวัดกรุงเทพมหานคร,10/31/2023 14:31
7PWG7J,"อื่นๆ,ความปลอดภัย","ปัญหา: เลขร้องทุกข์อ้างอิง XK7U2X เสร็จสิ้น
อ. 13 มิ.ย. 66 14:09
ผู้อำนวยการเขตบางรัก พร้อมด้วยคณะผู้บริหาร ออกตรวจพื้นที่ที่ผู้ร้องแจ้งมา ซึ่ง ในการตรวจพื้นที่ครั้งนี้ได้มีการสอบถามถึงสภาพความเป็นอยู่ และสอบถามถึงปัญหา เพื่อที่นำไปปรับปรุงและแก้ไข บริเวณดังกล่าว โดยให้ฝ่ายรักษาฯ ดำเนินการจัดกิจกรรมพัฒนาคูคลอง และจัดเก็บขยะและปรับปรุงภูมิทัศน์ริมคลองบริเวณที่ผู้ร้องแจ้งมา
ปัญหายังไม่ได้รับการแก้ไข พบการวางสิ่งของรุกล้ำลำคลองสาธารณะ มีการมั่วสุมนั่งรับประทานอาหาร กินกาแฟ ทิ้งเศษขยะเข้าไปยังบ้านผู้ร้อง แผ่นคอนกรีตที่วางกีดขวางลำคลอง ทำให้เกิดน้ำท่วมขังก่อให้เกิดยุง ทำให้ผู้ร้องได้รับความเดือดร้อน

ถนน: นเรศ
จุดสังเกต: หลังสำนักงานเขตบางรัก
เขต: บางรัก
#1555",100.52348,13.7307,5 ถ. นเรศ แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,สี่พระยา,บางรัก,จังหวัดกรุงเทพมหานคร,10/31/2023 14:20
2023-KNTK8Z,"น้ำท่วม,ความปลอดภัย","ถนนซอยอ่อนนุช66แยก19-12-7-4  มีน้ำท่วม เลขร้องทุกข์6826,5475,8608 ค่ะดิฉันชื่ออัจฉรพรรณ ภาศิริวงศ์โทร09-22597579 ภาพถ่ายเมื่อวาน ความสูงระดับข้อเท้า น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์",100.64868,13.7057,ตึกสีม่วง 521 อ่อนนุช 66 ซอย 10 แขวง สวนหลวง แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10/31/2023 13:00
B4DXAK,น้ำท่วม,"ปัญหา: มีน้ำท่วมขังในซอย ท่วมตั้งแต่เมื่อวาน(30/10/2566) อยากให้เจ้าหน้าที่เอาเครื่องสูบน้ำมาสูบน้ำออก
ซอย: ลาดพร้าว 101 ซอย 42 ซอยย่อย เทพทวี 8
ถนน: ลาดพร้าว 101
จุดสังเกต: ในซอยดังกล่าว
เขต: บางกะปิ
#1555",100.63718,13.78912,ซอย ลาดพร้าว 101 ซอย 42 14 แยก 4-3 แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,จังหวัดกรุงเทพมหานคร,10/31/2023 12:06
